Event Name	Event date	Event Time	Location	
A*Star Scholarship Award Ceremony	2015-08-30	08:45:22	Hall 4, Suntect City Convention Centre	
A*Star Scholarship Award Ceremony	2016-07-26	06:01:12	Hall 4, Suntect City Convention Centre	
A*Star Scholarship Award Ceremony	2017-04-30	12:22:15	Hall 4, Suntect City Convention Centre	
Administrative Service Dinner	2015-10-04	08:19:53	SMNS Main Hall	
Administrative Service Dinner	2016-01-27	14:44:40	SMNS Main Hall	
Administrative Service Dinner	2017-12-19	09:51:05	SMNS Main Hall	
Adult Learning Symposium	2015-10-09	14:51:41	SMU School Of Law, Main Hall	
Adult Learning Symposium	2016-08-02	16:27:49	SMU School Of Law, Main Hall	
Adult Learning Symposium	2017-12-10	09:10:44	SMU School Of Law, Main Hall	
Anti-Corruption Summit	2016-02-21	07:35:05	Main Ballroom, Shangri La Hotel	
Anti-Corruption Summit	2017-02-28	06:10:34	Main Ballroom, Shangri La Hotel	
Anti-Corruption Summit	2018-06-17	09:24:52	Main Ballroom, Shangri La Hotel	
APAIE Conference and Exhibition	2015-10-04	12:29:01	Hall 7, Singapore EXPO	
APAIE Conference and Exhibition	2016-10-11	11:13:51	Hall 7, Singapore EXPO	
APAIE Conference and Exhibition	2017-12-28	12:11:56	Hall 7, Singapore EXPO	
Appointment and Appreciation Ceremony for Principals	2015-07-05	10:10:18	Main Hall, NIE	
Appointment and Appreciation Ceremony for Principals	2016-09-14	10:33:59	Main Hall, NIE	
Appointment and Appreciation Ceremony for Principals	2017-03-04	14:16:25	Main Hall, NIE	
APSN Charity Dinner	2015-04-05	14:13:14	Main Ballroom, The St. Regis Singapore	
APSN Charity Dinner	2016-01-22	14:44:37	Main Ballroom, The St. Regis Singapore	
APSN Charity Dinner	2017-04-18	11:06:07	Main Ballroom, The St. Regis Singapore	
Arts Education Conference	2015-11-13	16:59:18	Hall 2, Suntec City Convention Centre	
Arts Education Conference	2016-11-10	16:10:46	Hall 2, Suntec City Convention Centre	
Arts Education Conference	2017-02-24	10:55:06	Hall 2, Suntec City Convention Centre	
ASEAN Engineering Deans Summit	2015-04-13	14:22:15	Hall 4, Marina Bay Sands Convention Centre	
ASEAN Engineering Deans Summit	2016-03-13	10:46:09	Hall 4, Marina Bay Sands Convention Centre	
ASEAN Engineering Deans Summit	2017-10-16	12:17:57	Hall 4, Marina Bay Sands Convention Centre	
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2015-05-21	12:23:03	Hall 6, Singapore EXPO	
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2016-01-19	08:33:03	Hall 6, Singapore EXPO	
ASEAN Ministerial Meeting on Transnational Crime (AMMTC)	2017-05-09	13:56:17	Hall 6, Singapore EXPO	
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2016-08-24	12:32:26	Hall 4, Singapore EXPO	
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2017-08-06	08:22:35	Hall 4, Singapore EXPO	
ASEAN Ministers on Energy Meeting (AMEM) Opening Ceremony	2018-01-31	12:05:25	Hall 4, Singapore EXPO	
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2016-11-25	16:29:40	Hall 5, Singapore EXPO	
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2017-09-18	14:51:11	Hall 5, Singapore EXPO	
ASEAN Ministers on Energy Meeting (AMEM) Press Conference	2018-06-12	09:54:26	Hall 5, Singapore EXPO	
ASEAN Schools Games Closing Ceremony	2015-05-17	11:38:09	Singapore Sports Stadium	
ASEAN Schools Games Closing Ceremony	2016-10-23	08:49:05	Singapore Sports Stadium	
ASEAN Schools Games Closing Ceremony	2017-12-02	06:28:48	Singapore Sports Stadium	
ASEAN Schools Games Send-Off Ceremony	2015-12-15	12:49:30	Singapore Sports Stadium	
ASEAN Schools Games Send-Off Ceremony	2016-07-23	13:26:40	Singapore Sports Stadium	
ASEAN Schools Games Send-Off Ceremony	2017-02-17	13:12:32	Singapore Sports Stadium	
ASEAN Strategic Policy Dialogue on Disaster Management	2015-07-27	06:16:26	Hall 5, Suntec City Convention Centre	
ASEAN Strategic Policy Dialogue on Disaster Management	2016-10-30	07:11:25	Hall 5, Suntec City Convention Centre	
ASEAN Strategic Policy Dialogue on Disaster Management	2017-12-09	09:14:54	Hall 5, Suntec City Convention Centre	
ASEAN Terrorism Talks	2015-09-07	11:51:19	Main Ballroom, Shangri La Hotel	
ASEAN Terrorism Talks	2016-01-30	08:37:28	Main Ballroom, Shangri La Hotel	
ASEAN Terrorism Talks	2017-09-23	09:21:42	Main Ballroom, Shangri La Hotel	
Asian Downstream Summit and Exhibition	2016-04-17	06:07:15	Hall 6, Singapore EXPO	
Asian Downstream Summit and Exhibition	2017-10-05	11:37:08	Hall 6, Singapore EXPO	
Asian Downstream Summit and Exhibition	2018-06-27	11:07:44	Hall 6, Singapore EXPO	
Association of Muslim Lawyers Annual Lecture	2016-05-19	13:22:05	Hall 2, Suntec City Convention Centre	
Association of Muslim Lawyers Annual Lecture	2017-10-11	06:33:58	Hall 2, Suntec City Convention Centre	
Association of Muslim Lawyers Annual Lecture	2018-05-03	07:58:14	Hall 2, Suntec City Convention Centre	
Athletes Achievement Awards (AAA) Ceremony 	2016-06-24	07:00:46	Singapore Sports Hub	
Athletes Achievement Awards (AAA) Ceremony 	2017-02-07	16:33:54	Singapore Sports Hub	
Athletes Achievement Awards (AAA) Ceremony 	2018-08-30	09:22:47	Singapore Sports Hub	
AVPN Conference	2015-08-05	15:59:33	Hall 3, Suntec City Convention Centre	
AVPN Conference	2016-02-05	08:11:46	Hall 3, Suntec City Convention Centre	
AVPN Conference	2017-03-31	16:28:12	Hall 3, Suntec City Convention Centre	
Basic Military Training Passing Out Parade	2015-11-09	11:33:43	Marina Bay Floating Platform	
Basic Military Training Passing Out Parade	2016-05-03	13:27:26	Marina Bay Floating Platform	
Basic Military Training Passing Out Parade	2017-04-04	08:33:43	Marina Bay Floating Platform	
Bulan Bahasa Annual Appreciation Dinner	2015-12-06	10:39:33	Main Ballroom, Westin Hotel	
Bulan Bahasa Annual Appreciation Dinner	2016-08-31	10:28:56	Main Ballroom, Westin Hotel	
Bulan Bahasa Annual Appreciation Dinner	2017-02-16	11:28:25	Main Ballroom, Westin Hotel	
Business Excellence Awards	2016-06-06	08:31:01	Hall 2, Marina Bay Sands Convention Centre	
